Hit	DB	Accession	Description	Organism	Length	Score.Bits.	Identities...	Positives...	E..
264	TR	A0A7K6A0L3	BICD2 protein (Fragment) OS=Onychorhynchus coronatus OX=360224 GN=Bicd2 PE=3 SV=1	Onychorhynchus coronatus	854	3375	81.7	90	0
265	TR	A0A7L4J7P1	BICD2 protein (Fragment) OS=Pomatorhinus ruficollis OX=932028 GN=Bicd2 PE=3 SV=1	Pomatorhinus ruficollis	852	3375	81.9	90.3	0
266	TR	A0A7L4H7X7	BICD2 protein (Fragment) OS=Podargus strigoides OX=8905 GN=Bicd2 PE=3 SV=1	Podargus strigoides	845	3374	81.9	90.8	0
269	TR	A0A7K7KV27	BICD2 protein (Fragment) OS=Asarcornis scutulata OX=75869 GN=Bicd2 PE=3 SV=1	Asarcornis scutulata	847	3374	82.3	90.9	0
271	TR	A0A8C9F6U5	BICD2 protein OS=Pavo cristatus OX=9049 PE=3 SV=1	Pavo cristatus	845	3373	82.3	90.5	0
272	TR	A0A670HM11	BICD cargo adaptor 2 OS=Podarcis muralis OX=64176 GN=BICD2 PE=3 SV=1	Podarcis muralis	815	3373	82.1	90.4	0
274	TR	A0A218UH06	Protein bicaudal D 2 OS=Lonchura striata domestica OX=299123 GN=BICD2 PE=3 SV=1	Lonchura striata domestica	815	3373	82.1	90.7	0
275	TR	A0A7K6MEE3	BICD2 protein (Fragment) OS=Panurus biarmicus OX=181101 GN=Bicd2 PE=3 SV=1	Panurus biarmicus	859	3373	81.2	89.5	0
276	TR	A0A7K9QFT7	BICD2 protein (Fragment) OS=Irena cyanogastra OX=175120 GN=Bicd2 PE=3 SV=1	Irena cyanogastra	849	3373	81.9	90.6	0
277	TR	A0A7K4WUJ7	BICD2 protein (Fragment) OS=Tachuris rubrigastra OX=495162 GN=Bicd2 PE=3 SV=1	Tachuris rubrigastra	853	3372	81.6	90.2	0
278	TR	A0A7L0ZJL3	BICD2 protein (Fragment) OS=Oxyruncus cristatus OX=114331 GN=Bicd2 PE=3 SV=1	Oxyruncus cristatus	852	3372	81.7	90.3	0
279	TR	A0A852CXI2	BICD2 protein (Fragment) OS=Passerina amoena OX=142471 GN=Bicd2 PE=3 SV=1	Passerina amoena	853	3371	81.6	90	0
280	TR	A0A851KUE2	BICD2 protein (Fragment) OS=Vidua chalybeata OX=81927 GN=Bicd2 PE=3 SV=1	Vidua chalybeata	853	3371	81.5	90.2	0
281	TR	A0A850YKB1	BICD2 protein (Fragment) OS=Aegithalos caudatus OX=73327 GN=Bicd2 PE=3 SV=1	Aegithalos caudatus	853	3370	81.6	90.2	0
283	TR	A0A7L2LKQ8	BICD2 protein (Fragment) OS=Hippolais icterina OX=68497 GN=Bicd2 PE=3 SV=1	Hippolais icterina	854	3370	81.5	89.8	0
284	TR	E1C2N3	BICD cargo adaptor 2 OS=Gallus gallus OX=9031 GN=BICD2 PE=1 SV=4	Gallus gallus	829	3369	82.1	90.7	0
285	TR	A0A7L2ADZ8	BICD2 protein (Fragment) OS=Heliornis fulica OX=54369 GN=Bicd2 PE=3 SV=1	Heliornis fulica	852	3368	81.7	90	0
286	TR	A0A7K5BAV4	BICD2 protein (Fragment) OS=Furnarius figulus OX=463165 GN=Bicd2 PE=3 SV=1	Furnarius figulus	861	3368	81.2	89.1	0
287	TR	A0A7K7SUE5	BICD2 protein (Fragment) OS=Sapayoa aenigma OX=239371 GN=Bicd2 PE=3 SV=1	Sapayoa aenigma	852	3367	81.7	89.9	0
288	TR	A0A7L1PWC6	BICD2 protein (Fragment) OS=Oriolus oriolus OX=181099 GN=Bicd2 PE=3 SV=1	Oriolus oriolus	846	3367	82.1	90.6	0
289	TR	A0A7K9SHM2	BICD2 protein (Fragment) OS=Galbula dea OX=1109041 GN=Bicd2 PE=3 SV=1	Galbula dea	847	3367	81.9	90.3	0
290	TR	A0A852KMN6	BICD2 protein (Fragment) OS=Urocolius indicus OX=458196 GN=Bicd2 PE=3 SV=1	Urocolius indicus	846	3367	81.8	90.3	0
291	TR	A0A852A9R3	BICD2 protein (Fragment) OS=Calcarius ornatus OX=198940 GN=Bicd2 PE=3 SV=1	Calcarius ornatus	853	3367	81.5	90	0
292	TR	A0A7K5KYZ8	BICD2 protein (Fragment) OS=Vireo altiloquus OX=34956 GN=Bicd2 PE=3 SV=1	Vireo altiloquus	846	3366	82.2	90.6	0
293	TR	A0A7L0J9S1	BICD2 protein (Fragment) OS=Piprites chloris OX=114369 GN=Bicd2 PE=3 SV=1	Piprites chloris	852	3366	81.5	90	0
294	TR	A0A850WZR5	BICD2 protein (Fragment) OS=Piaya cayana OX=33601 GN=Bicd2 PE=3 SV=1	Piaya cayana	845	3366	81.8	90.4	0
295	TR	A0A8C2TLV2	BICD cargo adaptor 2 OS=Coturnix japonica OX=93934 GN=BICD2 PE=3 SV=1	Coturnix japonica	815	3365	82.1	90.5	0
296	TR	A0A7K9P6S7	BICD2 protein (Fragment) OS=Pachycephala philippinensis OX=449367 GN=Bicd2 PE=3 SV=1	Pachycephala philippinensis	846	3365	82.2	90.4	0
297	TR	A0A7K5BTR8	BICD2 protein (Fragment) OS=Motacilla alba OX=45807 GN=Bicd2 PE=3 SV=1	Motacilla alba	858	3364	81	89.6	0
298	TR	A0A7L2ZTI8	BICD2 protein (Fragment) OS=Prunella fulvescens OX=670355 GN=Bicd2 PE=3 SV=1	Prunella fulvescens	853	3363	81.3	90	0
299	TR	A0A7L4FPG2	BICD2 protein (Fragment) OS=Alopecoenas beccarii OX=262131 GN=Bicd2 PE=3 SV=1	Alopecoenas beccarii	851	3363	81.7	90.1	0
300	TR	A0A7L0N5G3	BICD2 protein (Fragment) OS=Formicarius rufipectus OX=1118560 GN=Bicd2 PE=3 SV=1	Formicarius rufipectus	852	3363	81.5	90	0
301	TR	A0A7L4A718	BICD2 protein (Fragment) OS=Circaetus pectoralis OX=321084 GN=Bicd2 PE=3 SV=1	Circaetus pectoralis	862	3362	80.9	89	0
302	TR	A0A7K9YGV0	BICD2 protein (Fragment) OS=Odontophorus gujanensis OX=886794 GN=Bicd2 PE=3 SV=1	Odontophorus gujanensis	845	3362	81.9	90.4	0
303	TR	A0A7K9NWH1	BICD2 protein (Fragment) OS=Edolisoma coerulescens OX=2585810 GN=Bicd2 PE=3 SV=1	Edolisoma coerulescens	846	3362	82	90.6	0
304	TR	A0A7L2KC79	BICD2 protein (Fragment) OS=Zosterops hypoxanthus OX=2485327 GN=Bicd2 PE=3 SV=1	Zosterops hypoxanthus	846	3361	82	90.4	0
305	TR	A0A7L4KIE7	BICD2 protein (Fragment) OS=Callaeas wilsoni OX=1347786 GN=Bicd2 PE=3 SV=1	Callaeas wilsoni	846	3361	82	90.3	0
306	TR	A0A7L3AG08	BICD2 protein (Fragment) OS=Syrrhaptes paradoxus OX=302527 GN=Bicd2 PE=3 SV=1	Syrrhaptes paradoxus	861	3361	80.9	89.2	0
307	TR	A0A7K9J781	BICD2 protein (Fragment) OS=Myiagra hebetior OX=381031 GN=Bicd2 PE=3 SV=1	Myiagra hebetior	846	3361	82.1	90.3	0
308	TR	A0A7L2I9G9	BICD2 protein (Fragment) OS=Semnornis frantzii OX=91796 GN=Bicd2 PE=3 SV=1	Semnornis frantzii	856	3361	81.1	89.5	0
309	TR	A0A7K5K5X9	BICD2 protein (Fragment) OS=Mionectes macconnelli OX=254557 GN=Bicd2 PE=3 SV=1	Mionectes macconnelli	852	3361	81.5	89.9	0
310	TR	A0A7K6VF99	BICD2 protein (Fragment) OS=Notiomystis cincta OX=366454 GN=Bicd2 PE=3 SV=1	Notiomystis cincta	856	3361	81	89.7	0
311	TR	A0A7L4C8E4	BICD2 protein (Fragment) OS=Nyctiprogne leucopyga OX=382315 GN=Bicd2 PE=3 SV=1	Nyctiprogne leucopyga	858	3361	81	89.3	0
312	TR	A0A7L1AMV9	BICD2 protein (Fragment) OS=Gymnorhina tibicen OX=9132 GN=Bicd2 PE=3 SV=1	Gymnorhina tibicen	846	3361	82.1	90.4	0
313	TR	A0A7L4E502	BICD2 protein (Fragment) OS=Hirundo rustica OX=43150 GN=Bicd2 PE=3 SV=1	Hirundo rustica	853	3361	81.4	89.9	0
314	TR	A0A7K6FDA7	BICD2 protein (Fragment) OS=Daphoenositta chrysoptera OX=254528 GN=Bicd2 PE=3 SV=1	Daphoenositta chrysoptera	846	3360	82.1	90.3	0
315	TR	A0A7K5VV03	BICD2 protein (Fragment) OS=Platysteira castanea OX=1160851 GN=Bicd2 PE=3 SV=1	Platysteira castanea	846	3360	82.1	90.3	0
316	TR	A0A7L1ZSZ6	BICD2 protein (Fragment) OS=Leiothrix lutea OX=36275 GN=Bicd2 PE=3 SV=1	Leiothrix lutea	846	3359	81.8	90.4	0
317	TR	A0A7K7DWI4	BICD2 protein (Fragment) OS=Sylvia atricapilla OX=48155 GN=Bicd2 PE=3 SV=1	Sylvia atricapilla	846	3359	81.8	90.4	0
318	TR	A0A8B9GEJ5	BICD cargo adaptor 2 OS=Amazona collaria OX=241587 PE=3 SV=1	Amazona collaria	845	3359	81.8	90.1	0
319	TR	A0A7K5II75	BICD2 protein (Fragment) OS=Toxostoma redivivum OX=99882 GN=Bicd2 PE=3 SV=1	Toxostoma redivivum	858	3358	81	89.3	0
320	TR	A0A7K8ISW1	BICD2 protein (Fragment) OS=Chaetorhynchus papuensis OX=254446 GN=Bicd2 PE=3 SV=1	Chaetorhynchus papuensis	851	3358	81.6	89.9	0
321	TR	A0A7K5YHG2	BICD2 protein (Fragment) OS=Pterocles burchelli OX=2585816 GN=Bicd2 PE=3 SV=1	Pterocles burchelli	858	3358	81	89.5	0
322	TR	A0A8D2KYT5	BICD cargo adaptor 2 OS=Varanus komodoensis OX=61221 PE=3 SV=1	Varanus komodoensis	815	3357	81.6	90.5	0
323	TR	A0A7K7FVC7	BICD2 protein (Fragment) OS=Chionis minor OX=227182 GN=Bicd2 PE=3 SV=1	Chionis minor	858	3357	81.1	89.1	0
324	TR	A0A7K8HYA6	BICD2 protein (Fragment) OS=Aleadryas rufinucha OX=461220 GN=Bicd2 PE=3 SV=1	Aleadryas rufinucha	846	3357	82	90.3	0
325	TR	A0A7K8MF95	BICD2 protein (Fragment) OS=Ptilorrhoa leucosticta OX=449384 GN=Bicd2 PE=3 SV=1	Ptilorrhoa leucosticta	846	3357	82	90.4	0
326	TR	A0A7L0LJ07	BICD2 protein (Fragment) OS=Sylvietta virens OX=208069 GN=Bicd2 PE=3 SV=1	Sylvietta virens	854	3356	81.3	89.8	0
327	TR	A0A7K5MGI2	BICD2 protein (Fragment) OS=Cardinalis cardinalis OX=98964 GN=Bicd2 PE=3 SV=1	Cardinalis cardinalis	846	3356	81.8	90.3	0
328	TR	A0A7L0A0T9	BICD2 protein (Fragment) OS=Dicrurus megarhynchus OX=450177 GN=Bicd2 PE=3 SV=1	Dicrurus megarhynchus	846	3355	81.8	90.3	0
329	TR	A0A7L3EWS0	BICD2 protein (Fragment) OS=Chaetops frenatus OX=221966 GN=Bicd2 PE=3 SV=1	Chaetops frenatus	846	3355	81.6	90.4	0
330	TR	A0A7K4Q2D7	BICD2 protein (Fragment) OS=Melospiza melodia OX=44397 GN=Bicd2 PE=3 SV=1	Melospiza melodia	854	3355	81.2	89.7	0
331	TR	A0A852HPD1	BICD2 protein (Fragment) OS=Nicator chloris OX=237433 GN=Bicd2 PE=3 SV=1	Nicator chloris	845	3355	81.6	90.4	0
332	TR	A0A7L0QR49	BICD2 protein (Fragment) OS=Setophaga kirtlandii OX=298831 GN=Bicd2 PE=3 SV=1	Setophaga kirtlandii	858	3355	80.9	89.4	0
333	TR	A0A7K9W106	BICD2 protein (Fragment) OS=Rhipidura dahli OX=667186 GN=Bicd2 PE=3 SV=1	Rhipidura dahli	846	3354	82.1	90.3	0
334	TR	A0A7L3QWQ0	BICD2 protein (Fragment) OS=Cettia cetti OX=68486 GN=Bicd2 PE=3 SV=1	Cettia cetti	846	3354	81.7	90.2	0
335	TR	A0A7K7DGF4	BICD2 protein (Fragment) OS=Pheucticus melanocephalus OX=371919 GN=Bicd2 PE=3 SV=1	Pheucticus melanocephalus	846	3354	81.7	90.4	0
336	TR	A0A7K4U123	BICD2 protein (Fragment) OS=Sinosuthora webbiana OX=337173 GN=Bicd2 PE=3 SV=1	Sinosuthora webbiana	846	3354	81.7	90.3	0
339	TR	A0A7L0FS43	BICD2 protein (Fragment) OS=Corythaixoides concolor OX=103956 GN=Bicd2 PE=3 SV=1	Corythaixoides concolor	862	3354	80.6	88.7	0
340	TR	A0A8D0G9L7	BICD cargo adaptor 2 OS=Sphenodon punctatus OX=8508 GN=BICD2 PE=3 SV=1	Sphenodon punctatus	845	3353	81.5	90.5	0
341	TR	A0A7K6KN32	BICD2 protein (Fragment) OS=Oreocharis arfaki OX=979223 GN=Bicd2 PE=3 SV=1	Oreocharis arfaki	846	3353	82	90.2	0
342	TR	A0A7L1XPT5	BICD2 protein (Fragment) OS=Thinocorus orbignyianus OX=161742 GN=Bicd2 PE=3 SV=1	Thinocorus orbignyianus	842	3353	81.8	90.1	0
343	TR	A0A7L1URT4	BICD2 protein (Fragment) OS=Sitta europaea OX=50251 GN=Bicd2 PE=3 SV=1	Sitta europaea	847	3352	81.6	90.1	0
344	TR	A0A7L2E0D8	BICD2 protein (Fragment) OS=Anthoscopus minutus OX=156561 GN=Bicd2 PE=3 SV=1	Anthoscopus minutus	853	3352	81.3	89.8	0
345	TR	A0A7L0YFX4	BICD2 protein (Fragment) OS=Ploceus nigricollis OX=441696 GN=Bicd2 PE=3 SV=1	Ploceus nigricollis	858	3352	80.8	89.3	0
346	TR	A0A852NFP4	BICD2 protein (Fragment) OS=Pteruthius melanotis OX=357074 GN=Bicd2 PE=3 SV=1	Pteruthius melanotis	846	3352	81.8	90.2	0
347	TR	A0A7K8FFG7	BICD2 protein (Fragment) OS=Struthidea cinerea OX=181839 GN=Bicd2 PE=3 SV=1	Struthidea cinerea	846	3352	81.8	90.2	0
348	TR	A0A852BEH4	BICD2 protein (Fragment) OS=Chloropsis cyanopogon OX=1218682 GN=Bicd2 PE=3 SV=1	Chloropsis cyanopogon	846	3351	81.7	90.2	0
349	TR	A0A7K8SXD2	BICD2 protein (Fragment) OS=Nyctibius bracteatus OX=48426 GN=Bicd2 PE=3 SV=1	Nyctibius bracteatus	842	3351	81.9	90.2	0
350	TR	A0A7K7R5A7	BICD2 protein (Fragment) OS=Poecile atricapillus OX=48891 GN=Bicd2 PE=3 SV=1	Poecile atricapillus	846	3351	81.7	90.2	0
351	TR	A0A8D0E1Y2	BICD cargo adaptor 2 OS=Salvator merianae OX=96440 GN=BICD2 PE=3 SV=1	Salvator merianae	931	3351	81.6	90.6	0
352	TR	A0A7K9JIN2	BICD2 protein (Fragment) OS=Dicaeum eximium OX=667154 GN=Bicd2 PE=3 SV=1	Dicaeum eximium	846	3351	81.6	90.3	0
353	TR	A0A7K6LGY1	BICD2 protein (Fragment) OS=Falcunculus frontatus OX=254539 GN=Bicd2 PE=3 SV=1	Falcunculus frontatus	846	3350	81.8	90.3	0
354	TR	A0A7L1WHK4	BICD2 protein (Fragment) OS=Certhia brachydactyla OX=73330 GN=Bicd2 PE=3 SV=1	Certhia brachydactyla	846	3350	81.7	90.2	0
356	TR	A0A7L3V008	BICD2 protein (Fragment) OS=Molothrus ater OX=84834 GN=Bicd2 PE=3 SV=1	Molothrus ater	846	3350	81.7	90.3	0
357	TR	A0A7K4VNM5	BICD2 protein (Fragment) OS=Emberiza fucata OX=337179 GN=Bicd2 PE=3 SV=1	Emberiza fucata	846	3350	81.6	90.3	0
358	TR	A0A7K9CBG0	BICD2 protein (Fragment) OS=Psilopogon haemacephalus OX=2585815 GN=Bicd2 PE=3 SV=1	Psilopogon haemacephalus	856	3349	80.9	89.2	0
359	TR	A0A7K4KFM5	BICD2 protein (Fragment) OS=Crypturellus soui OX=458187 GN=Bicd2 PE=3 SV=1	Crypturellus soui	846	3349	81.6	90.2	0
360	TR	A0A7K5GTS5	BICD2 protein (Fragment) OS=Chunga burmeisteri OX=1352770 GN=Bicd2 PE=3 SV=1	Chunga burmeisteri	858	3348	80.9	89.1	0
361	TR	A0A7K7LRJ1	BICD2 protein (Fragment) OS=Brachypodius atriceps OX=182895 GN=Bicd2 PE=3 SV=1	Brachypodius atriceps	850	3347	81.3	90	0
362	TR	A0A852J8I7	BICD2 protein (Fragment) OS=Tricholaema leucomelas OX=240729 GN=Bicd2 PE=3 SV=1	Tricholaema leucomelas	856	3347	80.9	89.1	0
363	TR	A0A8J4NNC7	BICD2 protein (Fragment) OS=Eudyptula minor OX=37083 GN=FQV19_0010223 PE=3 SV=1	Eudyptula minor	842	3347	81.8	90.2	0
364	TR	A0A7K7CM46	BICD2 protein (Fragment) OS=Aphelocoma coerulescens OX=39617 GN=Bicd2 PE=3 SV=1	Aphelocoma coerulescens	846	3347	81.7	90.1	0
365	TR	A0A7K5T7J9	BICD2 protein (Fragment) OS=Urocynchramus pylzowi OX=571890 GN=Bicd2 PE=3 SV=1	Urocynchramus pylzowi	853	3347	81.2	89.4	0
366	TR	A0A850VE26	BICD2 protein (Fragment) OS=Chloropsis hardwickii OX=667144 GN=Bicd2 PE=3 SV=1	Chloropsis hardwickii	846	3347	81.6	90.1	0
368	TR	A0A7K4LVL8	BICD2 protein (Fragment) OS=Crypturellus undulatus OX=48396 GN=Bicd2 PE=3 SV=1	Crypturellus undulatus	846	3347	81.6	90.2	0
369	TR	A0A7L3TDC1	BICD2 protein (Fragment) OS=Rissa tridactyla OX=75485 GN=Bicd2 PE=3 SV=1	Rissa tridactyla	839	3347	81.9	90.1	0
370	TR	A0A7L0VHQ4	BICD2 protein (Fragment) OS=Leptocoma aspasia OX=2585812 GN=Bicd2 PE=3 SV=1	Leptocoma aspasia	846	3346	81.6	90.2	0
371	TR	A0A7K8SBI6	BICD2 protein (Fragment) OS=Rhodinocichla rosea OX=58203 GN=Bicd2 PE=3 SV=1	Rhodinocichla rosea	832	3346	81.5	90.4	0
372	TR	A0A7K5R1R9	BICD2 protein (Fragment) OS=Prunella himalayana OX=670356 GN=Bicd2 PE=3 SV=1	Prunella himalayana	853	3345	80.9	89.7	0
373	TR	A0A7L0EJJ8	BICD2 protein (Fragment) OS=Trogon melanurus OX=56311 GN=Bicd2 PE=3 SV=1	Trogon melanurus	846	3345	81.6	90.1	0
375	TR	A0A7L2NJC0	BICD2 protein (Fragment) OS=Pycnonotus jocosus OX=182897 GN=Bicd2 PE=3 SV=1	Pycnonotus jocosus	846	3345	81.5	90.1	0
376	TR	A0A7K8CWC7	BICD2 protein (Fragment) OS=Eulacestoma nigropectus OX=461239 GN=Bicd2 PE=3 SV=1	Eulacestoma nigropectus	846	3345	81.7	90.2	0
377	TR	A0A7K6XZZ4	BICD2 protein (Fragment) OS=Promerops cafer OX=254652 GN=Bicd2 PE=3 SV=1	Promerops cafer	846	3344	81.2	90.3	0
378	TR	A0A7L0S9Q9	BICD2 protein (Fragment) OS=Glaucidium brasilianum OX=78217 GN=Bicd2 PE=3 SV=1	Glaucidium brasilianum	842	3344	81.8	89.9	0
379	TR	A0A7K8JVE4	BICD2 protein (Fragment) OS=Lophotis ruficrista OX=172689 GN=Bicd2 PE=3 SV=1	Lophotis ruficrista	842	3344	81.8	90.2	0
381	TR	A0A0Q3R3V0	Protein bicaudal D 2 isoform X1 OS=Amazona aestiva OX=12930 GN=AAES_96538 PE=3 SV=1	Amazona aestiva	845	3343	81.6	89.8	0
382	TR	A0A7K9B8L2	BICD2 protein (Fragment) OS=Dromaius novaehollandiae OX=8790 GN=Bicd2 PE=3 SV=1	Dromaius novaehollandiae	846	3342	81.2	90.3	0
384	TR	A0A7L2CG22	BICD2 protein (Fragment) OS=Alaudala cheleensis OX=670337 GN=Bicd2 PE=3 SV=1	Alaudala cheleensis	846	3342	81.5	90.2	0
385	TR	A0A7K7RXK7	BICD2 protein (Fragment) OS=Nesospiza acunhae OX=381881 GN=Bicd2 PE=3 SV=1	Nesospiza acunhae	846	3341	81.5	90.2	0
386	TR	A0A7L1DY18	BICD2 protein (Fragment) OS=Oenanthe oenanthe OX=279966 GN=Bicd2 PE=3 SV=1	Oenanthe oenanthe	846	3341	81.5	90	0
387	TR	A0A8C6JKB6	Uncharacterized protein OS=Melopsittacus undulatus OX=13146 GN=LOC101876954 PE=3 SV=1	Melopsittacus undulatus	814	3340	81.5	90.2	0
388	TR	A0A851Y686	BICD2 protein (Fragment) OS=Eolophus roseicapilla OX=176039 GN=Bicd2 PE=3 SV=1	Eolophus roseicapilla	842	3340	81.6	90.1	0
389	TR	A0A7K5EQQ5	BICD2 protein (Fragment) OS=Polioptila caerulea OX=66707 GN=Bicd2 PE=3 SV=1	Polioptila caerulea	846	3339	81.2	90.1	0
391	TR	A0A7K5A5U2	BICD2 protein (Fragment) OS=Centropus unirufus OX=1118519 GN=Bicd2 PE=3 SV=1	Centropus unirufus	861	3337	80	88.7	0
392	TR	A0A851VXT8	BICD2 protein (Fragment) OS=Copsychus sechellarum OX=797021 GN=Bicd2 PE=3 SV=1	Copsychus sechellarum	846	3336	81.2	90.1	0
393	TR	A0A7K8GCM9	BICD2 protein (Fragment) OS=Orthonyx spaldingii OX=38397 GN=Bicd2 PE=3 SV=1	Orthonyx spaldingii	846	3335	81.4	89.8	0
394	TR	A0A835TPE8	BICD2 protein OS=Lamprotornis superbus OX=245042 GN=IHE44_010708 PE=3 SV=1	Lamprotornis superbus	807	3335	81.5	89.8	0
395	TR	A0A7K7VXC5	BICD2 protein (Fragment) OS=Nothocercus julius OX=2585813 GN=Bicd2 PE=3 SV=1	Nothocercus julius	846	3333	81.2	90.1	0
396	TR	A0A7K7J279	BICD2 protein (Fragment) OS=Loxia curvirostra OX=64802 GN=Bicd2 PE=3 SV=1	Loxia curvirostra	846	3333	81.4	90.1	0
397	TR	A0A7K7UWE2	BICD2 protein (Fragment) OS=Eudromia elegans OX=8805 GN=Bicd2 PE=3 SV=1	Eudromia elegans	848	3333	81	89.7	0
398	TR	A0A7L1RR32	BICD2 protein (Fragment) OS=Locustella ochotensis OX=187437 GN=Bicd2 PE=3 SV=1	Locustella ochotensis	853	3333	80.8	89.3	0
399	TR	A0A7L1HCU2	BICD2 protein (Fragment) OS=Nycticryphes semicollaris OX=227226 GN=Bicd2 PE=3 SV=1	Nycticryphes semicollaris	858	3332	80.7	89.1	0
400	TR	A0A3M0JMG5	BICD2 protein OS=Hirundo rustica rustica OX=333673 GN=DUI87_23316 PE=3 SV=1	Hirundo rustica rustica	837	3332	81.5	89.8	0
401	TR	A0A7L1QX42	BICD2 protein (Fragment) OS=Cisticola juncidis OX=52622 GN=Bicd2 PE=3 SV=1	Cisticola juncidis	844	3331	81.4	90.2	0
402	TR	A0A6J1UZR7	Protein bicaudal D homolog 2 isoform X3 OS=Notechis scutatus OX=8663 GN=BICD2 PE=3 SV=1	Notechis scutatus	816	3329	80.8	90.4	0
403	TR	A0A851RM46	BICD2 protein (Fragment) OS=Tychaedon coryphoeus OX=614051 GN=Bicd2 PE=3 SV=1	Tychaedon coryphoeus	846	3329	81	90.1	0
405	TR	A0A7L1FPF4	BICD2 protein (Fragment) OS=Sylvia borin OX=73324 GN=Bicd2 PE=3 SV=1	Sylvia borin	835	3326	82.1	90.7	0
408	TR	A0A7L0DG61	BICD2 protein (Fragment) OS=Rostratula benghalensis OX=118793 GN=Bicd2 PE=3 SV=1	Rostratula benghalensis	842	3322	81.1	89.8	0
409	TR	A0A670YC23	BICD cargo adaptor 2 OS=Pseudonaja textilis OX=8673 GN=BICD2 PE=3 SV=1	Pseudonaja textilis	816	3321	80.8	90.4	0
410	TR	A0A7L4BGV0	BICD2 protein (Fragment) OS=Phaetusa simplex OX=297813 GN=Bicd2 PE=3 SV=1	Phaetusa simplex	836	3320	81.7	89.7	0
411	TR	A0A6P9DLP9	Protein bicaudal D homolog 2 isoform X3 OS=Pantherophis guttatus OX=94885 GN=BICD2 PE=3 SV=1	Pantherophis guttatus	816	3320	80.5	90.3	0
412	TR	A0A851ULB5	BICD2 protein (Fragment) OS=Elachura formosa OX=1463973 GN=Bicd2 PE=3 SV=1	Elachura formosa	848	3320	80.9	89.9	0
413	TR	A0A851YG84	BICD2 protein (Fragment) OS=Halcyon senegalensis OX=342381 GN=Bicd2 PE=3 SV=1	Halcyon senegalensis	862	3319	80.4	88.3	0
414	TR	A0A7L3KXK6	BICD2 protein (Fragment) OS=Drymodes brunneopygia OX=626378 GN=Bicd2 PE=3 SV=1	Drymodes brunneopygia	846	3317	80.9	89.7	0
416	TR	A0A7L1DHU9	BICD2 protein (Fragment) OS=Serilophus lunatus OX=239386 GN=Bicd2 PE=3 SV=1	Serilophus lunatus	846	3317	81	89.3	0
418	TR	A0A7K8LDT9	BICD2 protein (Fragment) OS=Ardeotis kori OX=89386 GN=Bicd2 PE=3 SV=1	Ardeotis kori	832	3308	81.8	90.3	0
419	TR	A0A2F0BAV6	Protein bicaudal D 2 (Fragment) OS=Eschrichtius robustus OX=9764 GN=ESR_07144 PE=3 SV=1	Eschrichtius robustus	733	3306	91.3	93.5	0
420	TR	A0A384A5E9	Protein bicaudal D homolog 2 OS=Balaenoptera acutorostrata scammoni OX=310752 GN=BICD2 PE=3 SV=1	Balaenoptera acutorostrata scammoni	758	3303	90.3	92.8	0
421	TR	A0A7K4SUJ4	BICD2 protein (Fragment) OS=Burhinus bistriatus OX=240201 GN=Bicd2 PE=3 SV=1	Burhinus bistriatus	854	3300	80.9	89.4	0
422	TR	A0A7K8BAF9	BICD2 protein (Fragment) OS=Cnemophilus loriae OX=254448 GN=Bicd2 PE=3 SV=1	Cnemophilus loriae	842	3299	81.1	89.6	0
423	TR	A0A6P7Y9V9	LOW QUALITY PROTEIN: protein bicaudal D homolog 2 OS=Microcaecilia unicolor OX=1415580 GN=BICD2 PE=3 SV=1	Microcaecilia unicolor	811	3295	80.8	89.3	0
424	TR	A0A7K5UJ56	BICD2 protein (Fragment) OS=Cephalopterus ornatus OX=114276 GN=Bicd2 PE=3 SV=1	Cephalopterus ornatus	831	3286	82	90.4	0
425	TR	A0A6P8PKS9	Protein bicaudal D homolog 2 isoform X2 OS=Geotrypetes seraphini OX=260995 GN=BICD2 PE=3 SV=1	Geotrypetes seraphini	810	3284	80.5	89.1	0
428	TR	A0A6P3H567	Protein bicaudal D homolog 2 OS=Bison bison bison OX=43346 GN=BICD2 PE=3 SV=1	Bison bison bison	731	3271	89.6	92	0
429	TR	A0A8C6YDG9	BICD cargo adaptor 2 OS=Naja naja OX=35670 GN=BICD2 PE=3 SV=1	Naja naja	846	3268	79.3	89.5	0
430	TR	A0A851NT65	BICD2 protein (Fragment) OS=Penelope pileata OX=1118817 GN=Bicd2 PE=3 SV=1	Penelope pileata	822	3267	82.5	90.3	0
431	TR	A0A667IJT3	BICD cargo adaptor 2 OS=Lynx canadensis OX=61383 PE=3 SV=1	Lynx canadensis	805	3267	84.2	87.1	0
433	TR	M3XLQ0	BICD cargo adaptor 2 OS=Latimeria chalumnae OX=7897 GN=BICD2 PE=3 SV=1	Latimeria chalumnae	844	3261	79.4	89.8	0
434	TR	A0A7L2N2P9	BICD2 protein (Fragment) OS=Rhadina sibilatrix OX=2585818 GN=Bicd2 PE=3 SV=1	Rhadina sibilatrix	847	3255	79.9	88.6	0
435	TR	A0A5N3XII4	BICD cargo adaptor 2 (Fragment) OS=Muntiacus reevesi OX=9886 GN=FD755_015212 PE=3 SV=1	Muntiacus reevesi	819	3248	83.9	87.6	0
438	TR	A0A8J0QVF1	Protein bicaudal D homolog 2 isoform X3 OS=Xenopus tropicalis OX=8364 GN=bicd2 PE=3 SV=1	Xenopus tropicalis	809	3238	78.9	90.2	0
